19.20,98.30,970.02
17.87,93.80,969.97
16.60,89.70,969.96
15.37,85.80,969.91
14.07,81.20,969.94
12.71,76.80,969.91
11.40,72.80,969.88
10.10,68.35,969.85
8.81,63.90,969.89
7.52,59.45,969.90
6.20,55.40,969.92
4.93,51.20,969.89
3.58,46.50,969.87
2.30,41.50,969.87
1.19,37.00,969.91
0.09,33.10,969.87
1.19,37.45,969.87
2.68,43.15,969.77
4.01,48.00,969.76
4.90,51.10,969.77
6.24,55.50,969.81
7.52,59.80,969.81
8.79,64.00,969.81
10.10,68.35,969.78
11.41,72.70,969.80
12.66,76.80,969.84
14.05,81.40,969.82
15.28,85.50,969.81
16.56,89.80,969.75
17.85,94.20,969.73
19.19,98.70,969.68
